time,heading,desired_heading
0.34847283363342285,316.5815124511719,315.6722106933594
0.4671499729156494,317.23309326171875,315.6903991699219
0.5898706912994385,317.23309326171875,315.7066955566406
0.6605961322784424,317.23309326171875,315.7066955566406
0.876502275466919,317.23309326171875,315.7066955566406
1.0562858581542969,317.23309326171875,315.7066955566406
1.1280543804168701,317.23309326171875,315.7066955566406
1.2524187564849854,317.23309326171875,315.7066955566406
1.3156166076660156,317.23309326171875,315.7066955566406
1.3929836750030518,317.23309326171875,315.7066955566406
1.49104905128479,317.23309326171875,315.7066955566406
1.6645863056182861,317.23309326171875,315.7066955566406
1.7325191497802734,317.23309326171875,315.7066955566406
1.911421298980713,317.20574951171875,315.7263488769531
2.008608102798462,317.20574951171875,315.7263488769531
2.0944535732269287,317.20574951171875,315.8199462890625
3.175504684448242,317.20574951171875,315.8199462890625
3.247483491897583,317.20574951171875,315.8199462890625
3.309089422225952,317.16033935546875,315.9083251953125
3.375422477722168,317.16033935546875,315.9083251953125
3.4404470920562744,317.16033935546875,315.9197082519531
3.5056605339050293,317.16033935546875,315.9197082519531
3.5739848613739014,316.71435546875,315.9309997558594
3.637852430343628,316.71435546875,315.9309997558594
3.6998605728149414,316.71435546875,315.9406433105469
3.776733160018921,316.71435546875,315.9406433105469
3.84513783454895,316.71435546875,315.9406433105469
3.909306526184082,317.2607727050781,315.9599914550781
3.996143341064453,317.2607727050781,315.9599914550781
4.064276695251465,317.6270751953125,315.9630126953125
4.131324291229248,317.6270751953125,315.9630126953125
4.195103406906128,317.6270751953125,315.9715270996094
4.25788140296936,317.6270751953125,315.9715270996094
4.331436395645142,317.1783142089844,315.976806640625
4.3969197273254395,317.1783142089844,315.976806640625
4.4699554443359375,317.1783142089844,315.9832763671875
4.539931535720825,317.1783142089844,315.9832763671875
4.614682674407959,317.3060607910156,315.99102783203125
4.679613351821899,317.3060607910156,315.99102783203125
4.745076894760132,317.3060607910156,315.9981994628906
4.845519781112671,317.3060607910156,315.9981994628906
4.91933274269104,316.86865234375,316.01434326171875
4.97862982749939,316.86865234375,316.01434326171875
5.050229549407959,316.86865234375,316.01434326171875
5.119601011276245,316.86865234375,316.0257568359375
5.183716535568237,316.86865234375,316.0257568359375
5.2425010204315186,317.30035400390625,316.03369140625
5.3067100048065186,317.30035400390625,316.03369140625
5.3753533363342285,317.30035400390625,316.04608154296875
5.438678026199341,317.30035400390625,316.04608154296875
5.507668495178223,317.80859375,316.05377197265625
5.58363676071167,317.80859375,316.05377197265625
5.655574560165405,317.80859375,316.0580749511719
5.717837810516357,317.80859375,316.0580749511719
5.785985946655273,316.6876525878906,316.07275390625
5.898847341537476,316.6876525878906,316.07275390625
5.963682174682617,316.6876525878906,316.091064453125
6.031765937805176,316.6876525878906,316.091064453125
6.106775999069214,317.0394287109375,316.1001281738281
6.239238023757935,317.0394287109375,316.1001281738281
6.30599045753479,317.0394287109375,316.11083984375
6.415363073348999,317.0394287109375,316.11083984375
6.483715057373047,317.9179992675781,316.13623046875
6.5633018016815186,317.9179992675781,316.13623046875
6.633247137069702,317.9179992675781,316.14276123046875
6.704575777053833,317.9179992675781,316.14276123046875
6.769839525222778,317.33367919921875,316.1483154296875
6.837798833847046,317.33367919921875,316.1483154296875
6.90707802772522,317.33367919921875,316.1685485839844
6.969569683074951,317.33367919921875,316.1685485839844
7.038326740264893,316.8985900878906,316.1841735839844
7.109094858169556,316.8985900878906,316.1841735839844
7.195620536804199,316.8985900878906,316.19720458984375
7.255796432495117,316.8985900878906,316.19720458984375
7.3312413692474365,316.8985900878906,316.19720458984375
7.394444465637207,318.0252380371094,316.2002868652344
7.46291708946228,318.0252380371094,316.2002868652344
7.532940149307251,318.0252380371094,316.210205078125
7.592042922973633,318.0252380371094,316.210205078125
7.661877870559692,317.67254638671875,316.21820068359375
7.733554840087891,317.67254638671875,316.21820068359375
7.799370527267456,317.67254638671875,316.2291259765625
7.862409591674805,317.67254638671875,316.2291259765625
7.940270662307739,317.760986328125,316.2420349121094
8.0047607421875,317.760986328125,316.2420349121094
8.064659357070923,317.760986328125,316.2527160644531
8.122878789901733,317.760986328125,316.2527160644531
8.192047119140625,318.1312561035156,316.2615966796875
8.253581285476685,318.1312561035156,316.2615966796875
8.31559157371521,318.1312561035156,316.26220703125
8.379900932312012,318.1312561035156,316.26220703125
8.447380542755127,318.1312561035156,316.26220703125
8.519864320755005,318.1312561035156,316.26220703125
8.57753586769104,318.1312561035156,316.26220703125
8.642581462860107,315.54254150390625,316.3200378417969
8.705796957015991,315.54254150390625,316.3200378417969
8.877878427505493,315.54254150390625,316.333984375
8.949954986572266,315.54254150390625,316.333984375
9.016691207885742,317.4329528808594,316.3640441894531
9.087833642959595,317.4329528808594,316.3640441894531
9.153856039047241,317.4329528808594,316.37298583984375
9.222018241882324,317.4329528808594,316.37298583984375
9.289355278015137,317.70465087890625,316.3816833496094
9.365091562271118,317.70465087890625,316.3816833496094
9.44138765335083,317.70465087890625,316.3934631347656
9.509649515151978,317.70465087890625,316.3934631347656
9.581375360488892,317.7450256347656,316.40313720703125
9.64935851097107,317.7450256347656,316.40313720703125
9.714542627334595,317.7450256347656,316.4137878417969
9.7776198387146,317.7450256347656,316.4137878417969
9.844964504241943,317.7450256347656,316.4137878417969
9.907575607299805,318.5641784667969,316.41790771484375
9.974823236465454,318.5641784667969,316.41790771484375
10.03628921508789,318.5641784667969,316.4241027832031
10.10398817062378,318.5641784667969,316.4241027832031
10.166036605834961,317.26788330078125,316.4355773925781
10.22737717628479,317.26788330078125,316.4355773925781
