time,SOG,velocity_east,velocity_north
1731173225.8088896,0.0,0.0,0.0
1731173226.7146952,0.0,0.0,0.0
1731173227.7194018,0.0,0.0,0.0
1731173228.7260559,0.0,0.0,0.0
1731173229.7310238,0.0,0.0,0.0
1731173230.6875477,0.0,0.0,0.0
1731173231.6936893,0.0,0.0,0.0
1731173232.698322,0.0,0.0,0.0
1731173233.7030823,0.0,0.0,0.0
1731173234.7076752,0.0,0.0,0.0
1731173235.7118273,0.0,0.0,0.0
1731173236.716827,0.0,0.0,0.0
1731173237.7226946,0.0,0.0,0.0
1731173238.727999,0.0,0.0,0.0
1731173239.7327156,0.0,0.0,0.0
1731173240.6872535,0.0,0.0,0.0
1731173241.6912155,0.0,0.0,0.0
1731173242.6958487,0.0,0.0,0.0
1731173243.7007844,0.0,0.0,0.0
1731173244.7052655,0.0,0.0,0.0
1731173245.7093532,0.0,0.0,0.0
1731173246.7132115,0.0,0.0,0.0
1731173247.7170436,0.0,0.0,0.0
1731173248.7211385,0.0,0.0,0.0
1731173249.72546,0.0,0.0,0.0
1731173250.7308044,0.0,0.0,0.0
1731173251.687114,0.0,0.0,0.0
1731173252.693155,0.0,0.0,0.0
1731173253.6988509,0.0,0.0,0.0
1731173254.703443,0.0,0.0,0.0
1731173255.7083719,0.0,0.0,0.0
1731173256.713398,0.0,0.0,0.0
1731173257.71729,0.0,0.0,0.0
1731173258.7230175,0.0,0.0,0.0
1731173259.728917,0.0,0.0,0.0
1731173260.7347288,0.0,0.0,0.0
1731173261.6891148,0.0,0.0,0.0
1731173262.6928196,0.0,0.0,0.0
1731173263.69648,0.0,0.0,0.0
1731173264.7021337,0.0,0.0,0.0
1731173265.7073119,0.0,0.0,0.0
1731173266.7110088,0.0,0.0,0.0
1731173267.7147737,0.0,0.0,0.0
1731173268.7185423,0.0,0.0,0.0
1731173269.7223227,0.0,0.0,0.0
1731173270.7261724,0.0,0.0,0.0
1731173271.7308753,0.0,0.0,0.0
1731173272.7355316,0.0,0.0,0.0
1731173273.690498,0.0,0.0,0.0
1731173274.6969497,0.0,0.0,0.0
1731173275.7024398,0.0,0.0,0.0
1731173276.7066834,0.0,0.0,0.0
1731173277.7125607,0.0,0.0,0.0
1731173278.7188313,0.0,0.0,0.0
1731173279.7243998,0.0,0.0,0.0
1731173280.7295134,0.0,0.0,0.0
1731173281.7341814,0.0,0.0,0.0
1731173282.6882575,0.0,0.0,0.0
1731173283.6918905,0.0,0.0,0.0
1731173284.6952963,0.0,0.0,0.0
1731173285.6989892,0.0,0.0,0.0
1731173286.7026393,0.0,0.0,0.0
1731173287.7069201,0.0,0.0,0.0
1731173288.711273,0.0,0.0,0.0
1731173289.7151096,0.0,0.0,0.0
1731173290.720262,0.0,0.0,0.0
1731173291.7263129,0.0,0.0,0.0
1731173292.7320356,0.0,0.0,0.0
1731173293.6867294,0.0,0.0,0.0
1731173294.690464,0.0,0.0,0.0
1731173295.6945806,0.0,0.0,0.0
1731173296.700104,0.0,0.0,0.0
1731173297.704397,0.0,0.0,0.0
1731173298.7082188,0.0,0.0,0.0
1731173299.7123644,0.0,0.0,0.0
1731173300.7183657,0.0,0.0,0.0
1731173301.7226825,0.0,0.0,0.0
1731173302.7279632,0.0,0.0,0.0
1731173303.7338564,0.0,0.0,0.0
1731173304.7383642,0.0,0.0,0.0
1731173305.6922333,0.0,0.0,0.0
1731173306.697945,0.0,0.0,0.0
1731173307.7056096,0.0,0.0,0.0
1731173308.7117527,0.0,0.0,0.0
1731173309.7156909,0.0,0.0,0.0
1731173310.7197328,0.0,0.0,0.0
1731173311.7245085,0.0,0.0,0.0
1731173312.7309813,0.0,0.0,0.0
1731173313.6861014,0.0,0.0,0.0
1731173314.6914616,0.0,0.0,0.0
1731173315.6963022,0.0,0.0,0.0
1731173316.7008927,0.0,0.0,0.0
1731173317.7066984,0.0,0.0,0.0
1731173318.7134726,0.0,0.0,0.0
1731173319.7189543,0.0,0.0,0.0
1731173320.7249198,0.0,0.0,0.0
1731173321.7302084,0.0,0.0,0.0
1731173322.6871352,0.0,0.0,0.0
1731173323.6940825,0.0,0.0,0.0
1731173324.6998167,0.0,0.0,0.0
1731173325.7050135,0.0,0.0,0.0
1731173326.711791,0.0,0.0,0.0
1731173327.7175496,0.0,0.0,0.0
1731173328.7250454,0.0,0.0,0.0
1731173329.7310874,0.0,0.0,0.0
1731173330.6873753,0.0,0.0,0.0
1731173331.691973,0.0,0.0,0.0
1731173332.699974,0.0,0.0,0.0
1731173333.708193,0.0,0.0,0.0
1731173334.7157972,0.0,0.0,0.0
1731173335.7235618,0.0,0.0,0.0
1731173336.73048,0.0,0.0,0.0
1731173337.687922,0.0,0.0,0.0
1731173338.6958897,0.0,0.0,0.0
1731173339.7012117,0.0,0.0,0.0
1731173340.706791,0.0,0.0,0.0
1731173341.7152731,0.0,0.0,0.0
1731173342.7228365,0.0,0.0,0.0
1731173343.7295697,0.0,0.0,0.0
1731173344.685262,0.0,0.0,0.0
1731173345.6902943,0.0,0.0,0.0
1731173346.6956856,0.0,0.0,0.0
1731173347.7023733,0.0,0.0,0.0
1731173348.7086027,0.0,0.0,0.0
1731173349.7163837,0.0,0.0,0.0
1731173350.7225904,0.0,0.0,0.0
1731173351.7285082,0.0,0.0,0.0
1731173352.6854682,0.0,0.0,0.0
1731173353.6901133,0.0,0.0,0.0
1731173354.6964507,0.0,0.0,0.0
1731173355.7043889,0.0,0.0,0.0
1731173356.71022,0.0,0.0,0.0
1731173357.7154994,0.0,0.0,0.0
1731173358.7224302,0.0,0.0,0.0
1731173359.7276864,0.0,0.0,0.0
1731173360.7337658,0.0,0.0,0.0
1731173361.6908197,0.0,0.0,0.0
1731173362.697701,0.0,0.0,0.0
1731173363.705235,0.0,0.0,0.0
1731173364.71298,0.0,0.0,0.0
1731173365.7198586,0.0,0.0,0.0
1731173366.7265985,0.0,0.0,0.0
1731173367.733123,0.0,0.0,0.0
1731173368.6890087,0.0,0.0,0.0
1731173369.6957831,0.0,0.0,0.0
1731173370.7041662,0.0,0.0,0.0
1731173371.71126,0.0,0.0,0.0
1731173372.7181334,0.0,0.0,0.0
1731173373.7252142,0.0,0.0,0.0
1731173374.7328532,0.0,0.0,0.0
1731173375.687925,0.0,0.0,0.0
1731173376.6948483,0.0,0.0,0.0
1731173377.7012327,0.0,0.0,0.0
1731173378.7083623,0.0,0.0,0.0
1731173379.7170162,0.0,0.0,0.0
1731173380.7244942,0.0,0.0,0.0
1731173381.7318985,0.0,0.0,0.0
1731173382.6877117,0.0,0.0,0.0
1731173383.6921935,0.0,0.0,0.0
1731173384.6994553,0.0,0.0,0.0
1731173385.7062001,0.0,0.0,0.0
1731173386.7128007,0.0,0.0,0.0
1731173387.7174413,0.0,0.0,0.0
1731173388.7229888,0.0,0.0,0.0
1731173389.729086,0.0,0.0,0.0
1731173390.7330165,0.0,0.0,0.0
1731173391.6867356,0.0,0.0,0.0
1731173392.6918168,0.0,0.0,0.0
1731173393.6967015,0.0,0.0,0.0
1731173394.7014732,0.0,0.0,0.0
1731173395.7059088,0.0,0.0,0.0
1731173396.711806,0.0,0.0,0.0
1731173397.7165682,0.0,0.0,0.0
1731173398.72094,0.0,0.0,0.0
1731173399.727444,0.0,0.0,0.0
1731173400.733018,0.0,0.0,0.0
1731173401.690154,0.0,0.0,0.0
1731173402.6949503,0.0,0.0,0.0
1731173403.7000248,0.0,0.0,0.0
1731173404.7083776,0.0,0.0,0.0
1731173405.7146688,0.0,0.0,0.0
1731173406.7199297,0.0,0.0,0.0
1731173407.723759,0.0,0.0,0.0
1731173408.727505,0.0,0.0,0.0
1731173409.7315395,0.0,0.0,0.0
1731173410.6860836,0.0,0.0,0.0
1731173411.6904356,0.0,0.0,0.0
1731173412.6954222,0.0,0.0,0.0
1731173413.7012951,0.0,0.0,0.0
1731173414.7070074,0.0,0.0,0.0
1731173415.7139864,0.0,0.0,0.0
1731173416.7210114,0.0,0.0,0.0
1731173417.7257867,0.0,0.0,0.0
1731173418.730169,0.0,0.0,0.0
1731173419.7335582,0.0,0.0,0.0
1731173420.6891825,0.0,0.0,0.0
1731173421.6992981,0.0,0.0,0.0
1731173422.7117648,0.0,0.0,0.0
1731173423.7214174,0.0,0.0,0.0
1731173424.7330499,0.0,0.0,0.0
1731173425.6984618,0.0,0.0,0.0
1731173426.7129753,0.0,0.0,0.0
1731173427.7282546,0.0,0.0,0.0
1731173428.6907103,0.0,0.0,0.0
1731173429.7000396,0.0,0.0,0.0
1731173430.7075162,0.0,0.0,0.0
1731173431.7209861,0.0,0.0,0.0
1731173432.7330737,0.0,0.0,0.0
1731173433.6965997,0.0,0.0,0.0
1731173434.708797,0.0,0.0,0.0
1731173435.7195463,0.0,0.0,0.0
1731173436.7257175,0.0,0.0,0.0
1731173437.6870174,0.0,0.0,0.0
1731173438.6989408,0.0,0.0,0.0
1731173439.7122061,0.0,0.0,0.0
