time,rpm,duty_cycle,v_in,c_in,c_motor,temp_motor,time_ms,amp_hours,amp_hours_charged,motor_wattage,v_out
1741632621.3447008,0.0,0.0,45.0,0.0,0.0,-83.8,14284117.0,0.0,0.0,0.0,0.0
1741632621.3950355,0.0,0.0,45.2,0.0,-1.18,-82.3,14349653.0,0.0,0.0,-0.0,0.0
1741632621.4439275,0.0,0.0,45.1,0.0,-1.25,-80.8,14349653.0,0.0,0.0,-0.0,0.0
1741632621.493995,0.0,0.0,45.2,0.0,-1.19,-80.4,14351475.0,0.0,0.0,-0.0,0.0
1741632621.5438046,0.0,0.0,45.2,0.0,-1.24,-80.2,14416909.0,0.0,0.0,-0.0,0.0
1741632621.6477313,0.0,0.0,44.9,0.0,-1.23,-80.5,14349653.0,0.0,0.0,-0.0,0.0
1741632621.6947806,0.0,0.0,45.1,0.0,-1.42,-81.2,14351373.0,0.0,0.0,-0.0,0.0
1741632621.744246,0.0,0.0,45.2,0.0,-1.3,-80.3,14351526.0,0.0,0.0,-0.0,0.0
1741632621.7938817,0.0,0.0,45.2,0.0,-1.31,-79.6,14284117.0,0.0,0.0,-0.0,0.0
1741632621.8440163,0.0,0.0,45.1,0.0,-1.28,-80.6,14415189.0,0.0,0.0,-0.0,0.0
1741632621.893954,179.28571428571428,0.031,44.9,1.61,18.44,-80.8,14416909.0,0.0,0.0,18.366825396825398,0.9960317460317459
1741632621.9443605,277.57142857142856,0.051,45.0,0.93,10.06,-81.0,14285837.0,0.0,0.0,15.51315873015873,1.542063492063492
1741632621.994374,310.14285714285717,0.06,45.1,-0.12,-5.4,-81.2,14417081.0,0.0,0.0,-9.304285714285715,1.7230158730158731
1741632622.046141,321.42857142857144,0.048,45.0,0.24,8.4,-80.2,14482445.0,0.0,0.0,15.000000000000002,1.7857142857142858
1741632622.0952172,324.14285714285717,0.04,45.5,0.16,7.29,-80.3,14417081.0,0.0,0.0,13.127785714285714,1.8007936507936508
1741632622.1446705,328.42857142857144,0.05,45.0,0.18,7.66,-80.6,14349653.0,0.0,0.0,13.976460317460319,1.8246031746031748
1741632622.1944048,319.57142857142856,0.048,45.2,0.16,8.15,-80.7,14415189.0,0.0,0.0,14.469484126984126,1.7753968253968253
1741632622.2442093,325.2857142857143,0.045,45.3,0.16,7.71,-79.8,14416972.0,0.0,0.0,13.933071428571429,1.8071428571428572
1741632622.2949243,326.14285714285717,0.053,45.0,0.17,7.62,-79.0,14351576.0,0.0,0.0,13.806714285714287,1.8119047619047621
1741632622.3458717,329.2857142857143,0.051,45.1,0.17,7.88,-77.9,14351436.0,0.0,0.0,14.415396825396824,1.8293650793650793
1741632622.4443684,328.2857142857143,0.044,45.2,0.17,7.64,-77.7,14351373.0,0.0,0.0,13.93390476190476,1.8238095238095238
1741632622.4940245,336.42857142857144,0.046,45.1,0.19,7.98,-77.6,14285939.0,0.0,0.0,14.915000000000001,1.869047619047619
1741632622.544882,331.2857142857143,0.053,45.1,0.16,7.76,-77.6,14415189.0,0.0,0.0,14.282095238095238,1.8404761904761904
